Window_Index,Min_Probability,Max_Probability,Avg_Probability
0,0.0,9.2,0.7466666666666667
1,0.0,8.0,0.6666666666666667
2,0.0,7.6,0.64
3,0.0,7.6,0.6133333333333334
4,0.0,7.6,0.6133333333333334
5,0.0,7.6,0.6133333333333334
6,0.0,7.6,0.6133333333333334
7,0.0,7.6,0.6133333333333334
8,0.0,7.6,0.6133333333333334
9,0.0,7.6,0.6133333333333334
10,0.0,7.6,0.6133333333333334
11,0.0,7.6,0.5866666666666667
12,0.0,7.6,0.5866666666666667
13,0.0,7.6,0.5733333333333333
14,0.0,7.6,0.5466666666666666
15,0.0,7.6,0.5333333333333333
16,0.0,7.6,0.5333333333333333
17,0.0,7.6,0.5333333333333333
18,0.0,7.6,0.5333333333333333
19,0.0,7.6,0.52
20,0.0,7.6,0.52
21,0.0,7.6,0.52
22,0.0,7.6,0.52
23,0.0,7.6,0.52
24,0.0,7.6,0.52
25,0.0,7.6,0.52
26,0.0,7.6,0.52
27,0.0,7.6,0.52
28,0.0,7.6,0.52
29,0.0,7.6,0.52
30,0.0,7.6,0.52
31,0.0,7.6,0.52
32,0.0,7.6,0.52
33,0.0,7.6,0.52
34,0.0,7.6,0.52
35,0.0,7.6,0.52
36,0.0,7.6,0.52
37,0.0,5.2,0.36
38,0.0,5.2,0.36
39,0.0,5.2,0.36
40,0.0,5.2,0.36
41,0.0,5.2,0.36
42,0.0,5.2,0.36
43,0.0,5.2,0.36
44,0.0,5.2,0.36
45,0.0,5.2,0.36
46,0.0,5.2,0.36
47,0.0,5.2,0.36
48,0.0,5.2,0.36
49,0.0,5.2,0.36
50,0.0,5.2,0.36
51,0.0,5.2,0.36
52,0.0,5.2,0.36
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.4,0.02666666666666667
81,0.0,1.2,0.17333333333333334
82,0.0,2.6,0.3466666666666667
83,0.0,2.8000000000000003,0.6800000000000002
84,0.0,4.6,0.9200000000000002
85,0.0,4.6,0.9600000000000001
86,0.0,4.6,1.0933333333333335
87,0.0,5.0,1.16
88,0.0,4.8,1.0133333333333334
89,0.0,4.8,0.9866666666666668
90,0.0,4.8,1.0133333333333334
91,0.0,4.8,0.9600000000000001
92,0.0,5.4,1.0666666666666667
93,0.0,5.4,1.1466666666666665
94,0.0,5.4,1.16
95,0.0,5.4,1.1066666666666665
96,0.0,5.4,1.0799999999999998
97,0.0,5.2,1.0
98,0.0,5.2,0.96
99,0.0,5.2,0.96
100,0.0,4.6,0.88
101,0.0,4.6,0.8666666666666666
102,0.0,4.6,0.8266666666666667
103,0.0,4.6,0.8133333333333335
104,0.0,4.6,0.7733333333333333
105,0.0,4.6,0.8533333333333334
106,0.0,4.6,1.0133333333333332
107,0.0,5.4,1.2399999999999998
108,0.0,6.4,1.3199999999999998
109,0.0,6.4,1.3066666666666666
110,0.0,6.0,1.1733333333333333
111,0.0,7.000000000000001,1.6933333333333338
112,0.0,9.4,2.0133333333333336
113,0.0,11.600000000000001,2.466666666666667
114,0.0,11.600000000000001,2.52
115,0.0,12.8,2.626666666666667
116,0.0,11.600000000000001,2.4266666666666667
117,0.0,11.600000000000001,2.413333333333333
118,0.0,11.200000000000001,2.306666666666667
119,0.0,11.200000000000001,2.2800000000000002
120,0.0,10.6,2.0533333333333337
121,0.0,9.6,1.7866666666666666
122,0.0,7.199999999999999,1.5066666666666668
